ds_name,target,metric,value,model
Down_Jones,volume,SMAPE,0.7118057918216334,Chronos[bolt_small]
Down_Jones,percent_change_price,SQL,0.4189869767795527,Chronos[bolt_small]
Down_Jones,percent_change_price,WQL,0.7852263108746418,Chronos[bolt_small]
Down_Jones,percent_change_price,MAE,1.5059367723337118,Chronos[bolt_small]
Down_Jones,percent_change_price,MASE,0.5221295450630556,Chronos[bolt_small]
Down_Jones,percent_change_price,WAPE,0.9782458156942158,Chronos[bolt_small]
Down_Jones,percent_change_price,MSE,3.8690228022259454,Chronos[bolt_small]
Down_Jones,percent_change_price,RMSE,1.966983172837517,Chronos[bolt_small]
Down_Jones,percent_change_price,RMSLE,1.0506220580483698,Chronos[bolt_small]
Down_Jones,percent_change_price,RMSSE,0.5246981333194933,Chronos[bolt_small]
Down_Jones,percent_change_price,MAPE,1.668068926944102,Chronos[bolt_small]
Down_Jones,percent_change_price,SMAPE,1.4861276309037932,Chronos[bolt_small]
Down_Jones,percent_change_volume_over_last_wk,SQL,0.5814166230509639,ETS
Down_Jones,percent_change_volume_over_last_wk,WQL,0.8468342955817627,ETS
Down_Jones,percent_change_volume_over_last_wk,MAE,23.25862135647895,ETS
Down_Jones,percent_change_volume_over_last_wk,MASE,0.684226536193152,ETS
Down_Jones,percent_change_volume_over_last_wk,WAPE,0.996821840984512,ETS
Down_Jones,percent_change_volume_over_last_wk,MSE,1280.38723045992,ETS
Down_Jones,percent_change_volume_over_last_wk,RMSE,35.782498940961624,ETS
Down_Jones,percent_change_volume_over_last_wk,RMSLE,1.663364109320554,ETS
Down_Jones,percent_change_volume_over_last_wk,RMSSE,0.7679263713607278,ETS
Down_Jones,percent_change_volume_over_last_wk,MAPE,1.3932736724714183,ETS
Down_Jones,percent_change_volume_over_last_wk,SMAPE,1.5690972882656475,ETS
Down_Jones,percent_return_next_dividend,SQL,0.8738474811066919,Chronos[tiny]
Down_Jones,percent_return_next_dividend,WQL,0.2065567678728563,Chronos[tiny]
Down_Jones,percent_return_next_dividend,MAE,0.2073634212640151,Chronos[tiny]
Down_Jones,percent_return_next_dividend,MASE,1.0816912458847714,Chronos[tiny]
Down_Jones,percent_return_next_dividend,WAPE,0.2557995798012889,Chronos[tiny]
Down_Jones,percent_return_next_dividend,MSE,0.072805792660031,Chronos[tiny]
Down_Jones,percent_return_next_dividend,RMSE,0.2698254855643385,Chronos[tiny]
Down_Jones,percent_return_next_dividend,RMSLE,0.1440160409067996,Chronos[tiny]
Down_Jones,percent_return_next_dividend,RMSSE,0.9513535063080496,Chronos[tiny]
Down_Jones,percent_return_next_dividend,MAPE,0.2462521763311818,Chronos[tiny]
Down_Jones,percent_return_next_dividend,SMAPE,0.2520686370827658,Chronos[tiny]
ElectricityLoadDiagrams20112014,MT_144,SQL,0.5010514261691237,Chronos[bolt_small]
ElectricityLoadDiagrams20112014,MT_144,WQL,0.1066190684875025,Chronos[bolt_small]
ElectricityLoadDiagrams20112014,MT_144,MAE,10838610517681.43,Chronos[bolt_small]
ElectricityLoadDiagrams20112014,MT_144,MASE,0.5431537143469068,Chronos[bolt_small]
ElectricityLoadDiagrams20112014,MT_144,WAPE,0.1154600513528776,Chronos[bolt_small]
ElectricityLoadDiagrams20112014,MT_144,MSE,1.2654323497836538e+27,Chronos[bolt_small]
ElectricityLoadDiagrams20112014,MT_144,RMSE,35572915958403.72,Chronos[bolt_small]
ElectricityLoadDiagrams20112014,MT_144,RMSLE,0.4911772350334103,Chronos[bolt_small]
ElectricityLoadDiagrams20112014,MT_144,RMSSE,0.6675771671349765,Chronos[bolt_small]
ElectricityLoadDiagrams20112014,MT_144,MAPE,0.761238818308775,Chronos[bolt_small]
ElectricityLoadDiagrams20112014,MT_144,SMAPE,0.9677790895722784,Chronos[bolt_small]
ElectricityLoadDiagrams20112014,MT_158,SQL,0.7187368090980462,Chronos[bolt_small]
ElectricityLoadDiagrams20112014,MT_158,WQL,0.3955841295273027,Chronos[bolt_small]
ElectricityLoadDiagrams20112014,MT_158,MAE,155956997619195.4,Chronos[bolt_small]
ElectricityLoadDiagrams20112014,MT_158,MASE,0.9086536861549896,Chronos[bolt_small]
ElectricityLoadDiagrams20112014,MT_158,WAPE,0.5017921197101823,Chronos[bolt_small]
ElectricityLoadDiagrams20112014,MT_158,MSE,5.523238317852327e+28,Chronos[bolt_small]
ElectricityLoadDiagrams20112014,MT_158,RMSE,235015708365469.2,Chronos[bolt_small]
ElectricityLoadDiagrams20112014,MT_158,RMSLE,1.261046626002212,Chronos[bolt_small]
ElectricityLoadDiagrams20112014,MT_158,RMSSE,0.78953073578622,Chronos[bolt_small]
ElectricityLoadDiagrams20112014,MT_158,MAPE,550959803.0583596,Chronos[bolt_small]
ElectricityLoadDiagrams20112014,MT_158,SMAPE,0.5288099387432054,Chronos[bolt_small]
